state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,county_name
06,059,0007,88128,11,33.83062,-117.93845,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,53,87,N,53,61,0,8,NA,NA,Certification not required,0,0,0,2018-01-02 00:00,0,2018-01-08 00:00,0,2018-01-14 00:00,0,2018-01-20 00:00,NA,NA,NA,NA,0,0,0,0,0,0,0,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-04-06,Orange
06,063,1010,88128,5,39.81336,-120.47069,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,66,100,Y,60,61,0,0,NA,NA,Certification not required,0.002152,0.002615,0.019,2018-02-19 00:00,0.009,2018-01-26 00:00,0.005,2018-05-14 00:00,0.005,2018-05-26 00:00,NA,NA,NA,NA,0.019,0.009,0.005,0.004,0.002,0.002,0,Portola,"420 Gulling Street, Portola, CA 96122",California,Plumas,Portola,NA,NA,2020-05-21,Plumas
06,065,8001,88128,5,33.99958,-117.41601,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,7,NA,NA,Certification not required,0.002713,0.005239,0.017,2018-07-16 00:00,0.015,2018-08-24 00:00,0.015,2018-11-04 00:00,0.015,2018-12-22 00:00,NA,NA,NA,NA,0.015,0.015,0.014,0.01,0.006,0.002,-0.003,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,40140,"Riverside-San Bernardino-Ontario, CA",2020-05-21,Riverside
06,065,8001,88128,6,33.99958,-117.41601,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,55,90,N,55,61,0,6,NA,NA,Certification not required,0.001564,0.005928,0.021,2018-01-02 00:00,0.016,2018-11-22 00:00,0.013,2018-12-22 00:00,0.011,2018-09-05 00:00,NA,NA,NA,NA,0.021,0.016,0.013,0.008,0.005,0.001,-0.005,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,40140,"Riverside-San Bernardino-Ontario, CA",2020-05-21,Riverside
06,065,8001,88128,11,33.99958,-117.41601,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,57,93,N,56,61,0,5,NA,NA,Certification not required,0,0,0,2018-01-02 00:00,0,2018-01-08 00:00,0,2018-01-14 00:00,0,2018-01-20 00:00,NA,NA,NA,NA,0,0,0,0,0,0,0,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,40140,"Riverside-San Bernardino-Ontario, CA",2021-04-06,Riverside
06,065,9000,88128,1,33.463644,-116.971457,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,80,66,Y,80,122,0,42,NA,NA,Certification not required,6.38e-4,5.79e-4,0.002,2018-02-01 00:00,0.002,2018-02-10 00:00,0.002,2018-03-30 00:00,0.002,2018-07-13 00:00,NA,NA,NA,NA,0.002,0.002,0.002,0.001,0.001,0.001,0,Aqua Tibia Wilderness,Agua Tibia,California,Riverside,NA,40140,"Riverside-San Bernardino-Ontario, CA",2020-05-21,Riverside
06,067,0006,88128,5,38.613779,-121.368014,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,121,99,Y,121,122,0,1,NA,NA,Certification not required,0.002008,0.006206,0.035,2018-11-10 00:00,0.018,2018-03-03 00:00,0.017,2018-04-20 00:00,0.014,2018-09-08 00:00,NA,NA,NA,NA,0.018,0.017,0.011,0.009,0.005,0,-0.004,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,40900,"Sacramento--Roseville--Arden-Arcade, CA",2020-05-21,Sacramento
06,067,0010,88128,5,38.56844,-121.49311,NAD83,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,58,95,N,54,61,0,1,NA,NA,Certification not required,0.003017,0.001782,0.01,2018-01-02 00:00,0.008,2018-09-23 00:00,0.006,2018-12-29 00:00,0.005,2018-01-14 00:00,NA,NA,NA,NA,0.01,0.008,0.006,0.005,0.004,0.003,0.001,Sacramento-1309 T Street,"1309 T ST., SACRAMENTO, CA. 95814",California,Sacramento,Sacramento,40900,"Sacramento--Roseville--Arden-Arcade, CA",2020-05-21,Sacramento
06,069,0003,88128,1,36.48324,-121.15688,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2018,Micrograms/cubic meter (LC),No Events,119,98,Y,119,122,0,3,NA,NA,Certification not required,7.14e-4,0.001767,0.018,2018-11-10 00:00,0.005,2018-11-13 00:00,0.002,2018-01-02 00:00,0.002,2018-01-14 00:00,NA,NA,NA,NA,0.005,0.002,0.002,0.001,0.001,0,0,Pinnacles NP - Southwest of East Entrance Station,"Northeast entrance, Pinnacles National Park",California,San Benito,NA,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020-05-21,San Benito
06,071,2002,88128,11,34.10002,-117.49201,WGS84,Lead PM2.5 LC,7,24 HOUR,NA,Observed Values,Met One SASS/SuperSASS Teflon - Energy Dispersive XRF,2018,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,2,NA,NA,Certification not required,0.001067,0.004936,0.031,2018-05-20 00:00,0.017,2018-05-26 00:00,0.016,2018-08-18 00:00,0,2018-01-02 00:00,NA,NA,NA,NA,0.031,0.017,0.016,0,0,0,0,Fontana,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,40140,"Riverside-San Bernardino-Ontario, CA",2021-04-06,San Bernardino
